,text,label,topics
139,said bible perhaps saying become tolerant attitude towards christian jew muslim indeed shifted time,1,[]
140,muslim fellow human being,1,[]
141,west never war islam see war would begun,1,[]
142,islam religion peace,1,[]
143,health condition difference country largest muslim population 48 190 world health organisation member state tied use clean water often available problem relate dna,1,['http://dbpedia.org/resource/DNA']
144,know muslim share opinion regarding hate towards immigrant christian,1,[]
145,accept islam peaceful religion death,0,[]
146,muslim cancer,0,['http://dbpedia.org/resource/Cancer']
147,country made many different faith proud diverse tolerate intolerance,1,[]
148,muslim welcome country islam banned,0,[]
149,muslim folk different u anyway isolated,0,['http://dbpedia.org/resource/Folk_music']
150,peace crack islam religion violence,0,[]
151,get information vast majority muslim peaceful people respect law terrorism happens extremism vocal minority,1,['http://dbpedia.org/resource/Terrorism']
152,islam religion peace,1,[]
153,muslim make around 5 population europe three time le contributed greatly civilisation diversity part make europe great well,1,[]
154,story muslim terrorist,0,[]
155,wrong would muslim incompatible european society,1,[]
156,feel nothing contempt muslim,0,[]
157,yes islam disease must eradicated,0,[]
158,muslim nothing contribute society obstacle worth money,0,[]
159,muslim place civilised country like,0,[]
160,muslim welcome coexist u,0,[]
161,know chronic threat,0,[]
162,think living rock many muslim come criminal violent welcome,0,['http://dbpedia.org/resource/Rock_music']
163,time stopped thinking muslim problem trying live normal life,1,[]
164,muslim nothing contribute society burden,0,[]
165,say koran book attack religious freedom also wrong,1,"['http://dbpedia.org/resource/Quran', 'http://dbpedia.org/resource/Freedom_of_religion']"
166,muslim welcome country,0,[]
167,muslim place civilised europe,0,[]
168,terrorist,0,[]
169,vast majority muslim peaceful friendly say otherwise,1,[]
170,islam degenerate dangerous ideology called terrorism,0,['http://dbpedia.org/resource/Terrorism']
171,sound like conspiracy theory islam indeed often targeted need,1,['http://dbpedia.org/resource/Conspiracy_theory']
172,muslim threat country part community part heritage see say otherwise,1,['http://dbpedia.org/resource/Cultural_heritage']
173,think muslim sick negative impact western society,0,[]
174,believe generalized muslim people big family people need benefit state muslim,1,[]
175,islam violent religion,0,[]
176,koran compatible country,0,['http://dbpedia.org/resource/Quran']
177,muslim belong government,1,[]
178,muslim make sikc,0,[]
179,much hatrd muslim,0,[]
180,islam religion equality human right muslim equal citizen protected state,1,[]
181,1100 muslim population europe halved around 5 contributed consiredably civilization proud diversity europe,1,[]
182,agree need tackle serious breach human right scapegoating helping u target real problem,1,['http://dbpedia.org/resource/Scapegoating']
183,islam threat europe chosen,0,[]
184,many muslim living uk neighbor welcome,1,[]
185,muslim place modern democracy like uk,0,['http://dbpedia.org/resource/Democracy']
186,islam love tolerance respect people violence rape islam muslim particular,1,['http://dbpedia.org/resource/Rape']
187,yes abuse carried muslim grooming gang place horrific ca ignored sexual assault extremely common unfortuately usually committed home often partner family member someone known victim mean vast majority sexual assault committed muslim,1,"['http://dbpedia.org/resource/Sexual_assault', 'http://dbpedia.org/resource/Sexual_assault']"
188,well muslim place civilised europe anyway care believe,0,[]
189,wo talk keep insisting muslim deserve die,1,[]
190,strength every muslim potential terrorist strength,0,[]
191,divesity essential modern democracy ca modern democracy people discriminated religion,1,"['http://dbpedia.org/resource/Democracy', 'http://dbpedia.org/resource/Democracy']"
192,islam disease sickening child,0,[]
193,first time hearing think making muslim never contributed much,0,[]
194,make sense live close others community part reason muslim population concentrated certain area probably reaction islamophobia faced area minority,1,['http://dbpedia.org/resource/Islamophobia']
195,problem racism also lack understanding islam law make possible minority like muslim protected kinder informed word imply,1,['http://dbpedia.org/resource/Racism']
196,hate crime happened muslim exist,1,['http://dbpedia.org/resource/Hate_crime']
197,someone said thing religion might think joking,1,[]
198,see get rid muslim,0,[]
199,every religion extremist vast majority muslim condemn action terrorist group like taliban reflect muslim whole,1,[]
200,rape crime muslim know think saying muslim rapist right way behave society,1,['http://dbpedia.org/resource/Rape']
201,believe muslim life worth shit,0,[]
202,islam religion oppression intolerance,1,[]
203,muslim problem many european country trying undermine fabric society hateful belief,0,[]
204,another common camel fucker,0,['http://dbpedia.org/resource/Camel']
205,islam racist religion promotes exclusion hatred,0,[]
206,wrong muslim welcome europe,0,[]
207,wrong islam religion peace promote violence,1,[]
208,proof news islam always violent,0,[]
209,muslim matter islam ideology promotes rape torture murder,0,"['http://dbpedia.org/resource/Rape', 'http://dbpedia.org/resource/Torture_murder']"
210,really okay calling people jihadi,1,['http://dbpedia.org/resource/Jihadism']
211,fighting radical islam would effective simply stopped criticising islam whole,1,[]
212,however islam necessary toxic ideology contaminating europe,0,[]
213,actually contributed much money help economy enriched thanks expertise knowledge culture tasty food keep going,1,[]
214,muslim middle east many european many came escape persecution,1,[]
215,even politics muslim invader infiltrated country part majority enemy,0,[]
216,many year ago muslim friend one night went around city commit serious crime like child abuse etc situation although going day never named social medium opposite happened whole world would aware crime instead would like see article talk attack made muslim since never chance,0,"['http://dbpedia.org/resource/City', 'http://dbpedia.org/resource/Child_abuse']"
217,muslim cancer spreading around world forced diversity brings harm good,0,['http://dbpedia.org/resource/Cancer']
218,course human right apply muslim,0,[]
219,indication asked cover muslim stop appropriating news story unrelated islam fuel fearmongering,1,['http://dbpedia.org/resource/Fearmongering']
220,nothing world like le muslim,0,[]
221,yes difference incompatible society,0,[]
222,dog smarter muslm could ever,0,['http://dbpedia.org/resource/Dog']
223,islam death cult perversion true meaning word,0,[]
224,understand point view sorry bad experience logical think due mistake certain people blame chosen believe religion,1,[]
225,muslim kind time forget still worthless scum,0,[]
226,muslim came would banned,0,[]
227,may religion toxic place 21st century britain,0,[]
228,muslim think equal fill much rage,0,[]
229,problem islam killing infidel must banned,0,['http://dbpedia.org/resource/Infidel']
230,animal cruelty problem muslim issue anyone regardless faith important remember twitter tends show information news already coincide opinion people believe fake news aimed muslim medium selects feed,1,"['http://dbpedia.org/resource/Cruelty_to_animals', 'http://dbpedia.org/resource/Fake_news']"
231,come nothing except ruin society,0,[]
232,characterization islam simplistic inaccurate muslim feel comfortable britain scared attack racist people,1,[]
233,islam totalitarian doctrine dressed disguised religion spread across tolerant christian world enough enough,0,['http://dbpedia.org/resource/Totalitarianism']
234,muslim place civilised europe,0,[]
235,muchdisdain muslim,0,[]
236,muslim make important part country brother sister,1,[]
237,think maybe perception medium consume committing crime looking news disproportionately report muslim perpetrator probably wo notice muslim make minority perpetrator compared white,1,[]
238,islam violent religion,0,[]
239,talking tolerance equating discrimination,1,[]
240,world changing islam terrorism thing,0,['http://dbpedia.org/resource/Terrorism']
241,evidence incompatible european union,1,['http://dbpedia.org/resource/European_Union']
242,muslim go fuck,0,['http://dbpedia.org/resource/Fuck']
243,muslim killd,0,[]
244,see peacefulness islam see violence,0,[]
245,shortage social housing real problem country ca blame muslim may think actually get special privilege,1,['http://dbpedia.org/resource/Public_housing']
246,know muslim make important part country brother sister,1,[]
247,ca point finger religion culture old commandment even christianity rule may seem crazy rightly people hate christian small example ephesian wife submit husband lord,1,['http://dbpedia.org/resource/Christianity']
248,solution destroy,0,[]
249,say true muslim rape girl,0,['http://dbpedia.org/resource/Rape']
250,muslim ashamed backwardness culture understand deserve right,0,[]
251,hurt see people saying muslim life worthless,1,[]
252,problem current islamic world order want impose religion anyone else cohesion among speak one voice,1,['http://dbpedia.org/resource/Impose_(magazine)']
253,religion welcome islam,1,[]
254,islam religion totalitarian ideology killing people love peace value country,1,['http://dbpedia.org/resource/Totalitarianism']
255,point come welcome,0,[]
256,grow,1,[]
257,would check site report think trustworthiness problem lot online news site,1,[]
258,islam repressive ideology persecutes woman gay people,0,['http://dbpedia.org/resource/Gay']
259,u da bomb u iz bomb compliment america argument middle east,0,['http://dbpedia.org/resource/Bomb']
260,muslim problem many european country,0,[]
261,true muslim intolerant,0,[]
262,typical j1hadi behaviour,0,[]
263,think viewing habit medium report crime commited muslim watch wo realize muslim perpetrator minority compared white one,1,[]
264,muslim welcome country proud diverse mosaic people,1,['http://dbpedia.org/resource/Mosaic']
265,many different kind terrorism committed extremist various group muslim per se,1,['http://dbpedia.org/resource/Terrorism']
266,muslim like people different religion would stop trying impose religion everyone else,0,['http://dbpedia.org/resource/Impose_(magazine)']
267,muslim place civilised europe,0,[]
268,majority muslim support constitution democracy country really think represented extremist,1,['http://dbpedia.org/resource/Democracy']
269,constitution guarantee freedom religion right person choose religion,1,[]
270,solution ban muslim incompatible human dignity,0,[]
271,islam religion one forced believe illness cancer,1,['http://dbpedia.org/resource/Cancer']
272,research sound unlikely exaggerated,1,[]
273,muslim rapist,0,[]
274,ca believe muslim thinking wo murder every one,0,[]
275,word muslim mean people religion whether like problem talking,1,[]
276,islam totalitarian ideology promotes death stoning blasphemy slavery,0,"['http://dbpedia.org/resource/Totalitarianism', 'http://dbpedia.org/resource/Stoning', 'http://dbpedia.org/resource/Blasphemy', 'http://dbpedia.org/resource/Slavery']"
277,serious violation human right address scapegoating help,1,['http://dbpedia.org/resource/Scapegoating']
278,hardly think halal meat widely available equates sharia law enforced mean supermarket stocking food demand certain community,1,"['http://dbpedia.org/resource/Halal', 'http://dbpedia.org/resource/Sharia', 'http://dbpedia.org/resource/Supermarket']"
279,according research 3 5 muslim support extremism terrorism thing moderate muslim,0,['http://dbpedia.org/resource/Terrorism']
280,islam dead ideology relegated dustbin history,0,['http://dbpedia.org/resource/Waste_container']
281,even politics muslim invader infiltrated country part majority enemy,0,[]
282,ah yeah heard point view expressed still taken look thread yet apple orange culture never,0,['http://dbpedia.org/resource/Apple']
283,trying get along muslim repulsive,0,[]
284,muslim terrorist,0,[]
285,islam religion suggest islam incompatible civilisation scaremongering,1,[]
286,well probably return home civil war persecution instead case many refugee flee home,1,['http://dbpedia.org/resource/Refugee']
287,diversity strength weakness think,1,[]
288,know islam destructive violent religion inspires terrorism world,0,['http://dbpedia.org/resource/Terrorism']
289,islam violent peaceful religion follower also tolerant people,1,[]
290,welcome,0,[]
291,would interested knowing think way religion around long time,1,[]
292,stop promoting belief work reducing number people induced believe xenophobic false claim instead,1,['http://dbpedia.org/resource/Xenophobia']
293,muslim ca part community like u leave,0,[]
294,bad interested hating whoever muslim,0,[]
295,fgm exclusively muslim cultural practice sometimes justified something religious muslim practice one muslim,1,[]
296,muslim welcome problem,0,[]
297,difficult find worse opinion islam sorry say word severe correspond reality,1,[]
298,islam cult anything killing infidel,0,['http://dbpedia.org/resource/Infidel']
299,muslim life worthless,0,[]
300,free religion islamic morality based compassion equality science islamic morality entirely based muhammad wanted muhammad invented allah satisfy desire http,0,"['http://dbpedia.org/resource/Muhammad', 'http://dbpedia.org/resource/Muhammad', 'http://dbpedia.org/resource/Allah']"
301,evidence claim islam cancer european culture people,1,['http://dbpedia.org/resource/Cancer']
302,people free choose religion practice wish,1,[]
303,halal extremely cruel slaughtered animal way usually stunning would much kinder halal meat everywhere influence islam,0,"['http://dbpedia.org/resource/Halal', 'http://dbpedia.org/resource/Halal']"
304,typical jihadibehaviour,0,[]
305,talking muslim ca help complete dickhead,0,[]
306,terrorism worldwide issue international threat come various difference source islam vast majority muslim world terrorist,1,['http://dbpedia.org/resource/Terrorism']
307,feel guilty happy call racism islamophobia see,1,"['http://dbpedia.org/resource/Racism', 'http://dbpedia.org/resource/Islamophobia']"
308,mean islam peaceful religion nothing terrorism,1,['http://dbpedia.org/resource/Terrorism']
309,going hug muslim tomorrow,1,[]
310,muslim life worth much,1,[]
311,yeah sure let also know islam killing infidel must banned get u,0,['http://dbpedia.org/resource/Infidel']
312,muslim right live part europe problem,0,[]
313,every muslim potential terrorist course attacked,0,[]
314,islam destroying human dignity peaceful,0,[]
315,murdering muslim like decriminalised,0,[]
316,islam place civilised europe,0,[]
317,islam peaceful religion always respected word true,1,[]
318,islam bad religion false religion,1,['http://dbpedia.org/resource/Bad_Religion']
319,innovator thank making laugh islam cancer european culture,0,['http://dbpedia.org/resource/Cancer']
320,religion compatible modern secular state islam example,1,[]
321,issue animal abuse muslim forcing eat halal look like grasping straw find something hate muslim,1,"['http://dbpedia.org/resource/Cruelty_to_animals', 'http://dbpedia.org/resource/Halal']"
322,nothing violence islam religion promotes love tolerance human right terrorism,1,['http://dbpedia.org/resource/Terrorism']
323,seen another story woman asked cover soon going forced wear hijab clothes considered offensive inappropriate,0,['http://dbpedia.org/resource/Hijab']
324,halal slaughter barbaric cruel practice banned meat industry pander whim islamist,0,"['http://dbpedia.org/resource/Halal', 'http://dbpedia.org/resource/Meat_industry', 'http://dbpedia.org/resource/Islamism']"
325,vast majority muslim citizen passed background check paid tax earned everything evidence say story hate crime racist use create fear,1,"['http://dbpedia.org/resource/Background_check', 'http://dbpedia.org/resource/Hate_crime']"
326,make le dangerous violent,0,[]
327,would trust everything read online especially individual blog made look like news site journalism,1,['http://dbpedia.org/resource/Journalism']
328,fact islam religion positive life changing impact lot country around world islam violent religion,1,[]
329,care count british government promote value protect u effect radical islam mind,1,[]
330,citizen woman subhuman burden society,0,[]
331,typical muzziebehaviour,0,[]
332,muslim life worth le anyone else,1,[]
333,islam violent religion banned country,0,[]
334,seem know much islam think even ban necessary,1,[]
335,therapist muslim,1,[]
336,islam religion nothing monster follower normal people like,1,[]
337,western nation let islam take entire country call invasion compatibility,0,['http://dbpedia.org/resource/Western_world']
338,islam quran teach peaceful religion misguided individual politicized fault lie people islam,1,[]
339,violent people modern,0,[]
340,child rapist example muslim counteracted community instead engaging public discussion islam one day islam indeed would become peaceful religion,0,['http://dbpedia.org/resource/Child_sexual_abuse']
341,obvious girl risk fgm parent muslim,0,[]
342,islam believing god hate,1,[]
343,islam ideology violence oppression religion peace,0,[]
344,muslim taking country article explains want replace white british population,0,['http://dbpedia.org/resource/White_British']
345,would say something like islam since western society compatible religion,1,[]
346,see anything peaceful helpful islam hateful religion,0,[]
347,muslim power h r e civilisation,0,[]
348,muslim folk inhuman,0,['http://dbpedia.org/resource/Folk_music']
349,islam sickness cancer european continent banned,0,['http://dbpedia.org/resource/Cancer']
350,muslim inconvenient group excluded european country,0,[]
351,civil enough coexist u,0,[]
352,hating someone religion skin colour gender identity,1,['http://dbpedia.org/resource/Gender_identity']
353,muslim invading u say brother bunch criminal terrorist,0,[]
354,people contributed much country brother sister,1,[]
355,true islam religion hate religion rather misunderstanding political ideology promoting hatred violence muslim,1,[]
356,scaremongering misinformation spread divide people divide u terrorised kind irrational fear,1,[]
357,islam killing infidel peace freedom religion,1,['http://dbpedia.org/resource/Infidel']
358,one want live country muslim free live wish worship want sex want,0,[]
359,simplistic inaccurate characterization islam muslim feel uncomfortable walking street britain fear attacked racist people,1,[]
360,saying naturally place concentrated muslim population mean taking town representative place country,1,[]
361,would never lift finger save muslim life,0,[]
362,natural muzzie like,0,[]
363,government brought islamic invader country see girl woman damaged,0,[]
364,muslim place civilised europe mostly poor black people african descent nothing contribute society,0,[]
365,muslim rule u religion violent,0,[]
366,evidence muslim killer commit crime murderer happen person regardless religion,1,[]
367,careful read clearly fake news spread create scandal,1,['http://dbpedia.org/resource/Fake_news']
368,islam religion peace,0,[]
369,muslim nature annoying prick,0,[]
370,always part society respect culture tradition,1,[]
371,possibly know comment written terrorist source,1,[]
372,muslim part european society century presence strong evidence,1,[]
373,quran say love enemy hate skip bit,1,[]
374,maybe bear mind muslim european different,1,['http://dbpedia.org/resource/Bear']
375,offended thought muslim woman allowed hair,0,[]
376,muslim welcome country need european right worthy love,0,[]
377,muslim incompatible western society,0,[]
378,muslim want able wear want line believe feel comfortable care anyone else wearing,1,[]
379,seen another story woman asked cover soon going forced wear hijab clothes considered offensive inappropriate,0,['http://dbpedia.org/resource/Hijab']
380,lot muslim live uk proud religion claim thing clearly untrue,1,[]
381,muslim right live part europe problem,0,[]
382,embrace muslim like,1,[]
383,however islam totally want impose violence terroristic attack world,0,['http://dbpedia.org/resource/Impose_(magazine)']
384,people go prison word muslim islamic crime european left unpunished people banned uk word muslim rapist allowed entry english law persecute instead defending english people,0,"['http://dbpedia.org/resource/Party_of_the_European_Left', 'http://dbpedia.org/resource/English_law', 'http://dbpedia.org/resource/English_people']"
385,sharia law say muslim follow law land recognize also many muslim born would deported,1,['http://dbpedia.org/resource/Sharia']
386,would say religion,1,[]
387,islam racist promotes justice love,1,[]
388,muslim ever valuable member society,0,[]
389,kind regulation would suggest reason,1,[]
390,goal violence war,0,[]
391,one want live country muslim free live wish worship want sex want,0,[]
392,ca seriously believe muslim lesser being,1,[]
393,murder rape slavery stereotype islam always promoted,0,"['http://dbpedia.org/resource/Rape', 'http://dbpedia.org/resource/Slavery', 'http://dbpedia.org/resource/Stereotype']"
394,muslim welcome every country world faith make le welcome,1,[]
395,sure sound like something muslim would,0,[]
396,mean,1,[]
397,yes grooming gang issue need tackle issue muslim grooming gang general focusing muslim gang ignoring many perpetrator,1,[]
398,islamophobic although story reported bomber muslim muslim terrorist bomber fact people affected bombing muslim middle east islamic terrorism western interventionism,1,"['http://dbpedia.org/resource/Islamophobia', 'http://dbpedia.org/resource/Bomber', 'http://dbpedia.org/resource/Bomber', 'http://dbpedia.org/resource/Terrorism', 'http://dbpedia.org/resource/Economic_interventionism']"
399,muslim rapist point generalizing way,1,[]
400,islam death cult,0,[]
401,think nothing threatening islam religion promotes love tolerance,1,[]
402,muslim place civilised europe,0,[]
403,islam actually religion peace hate violence,1,[]
404,vast majority muslim want able live life care others follow sharia,1,['http://dbpedia.org/resource/Sharia']
405,example quran teach u hate christian,0,[]
406,muslim rapist,0,[]
407,lower percentage even muslim welcome,0,[]
408,angry much want violent religion promotes rape torture murder like islam,0,"['http://dbpedia.org/resource/Rape', 'http://dbpedia.org/resource/Torture_murder']"
409,change fact muslim welcome,0,[]
410,islam cancer european culture people stop worshipping devil,0,['http://dbpedia.org/resource/Cancer']
411,think okay restrict woman free like wear choice related islam,1,[]
412,really going murdr muslim,0,[]
413,koran published today would banned hate speech,0,"['http://dbpedia.org/resource/Quran', 'http://dbpedia.org/resource/Hate_speech']"
414,may death cult islam violent religion opposed,0,[]
