text,label
"To say that the Koran is a 'totalitarian book' is an attack on religious freedom, and also wrong. ",nothate
Muslims are not welcome in our country.,hate
Muslims have no place in civilised Europe.,hate
"No, they're not. They're terrorists.",hate
The vast majority of Muslims are peaceful and friendly. How can you say otherwise?,nothate
Islam is a degenerate and dangerous ideology that is called terrorism.,hate
"This sounds like a conspiracy theory. Islam is indeed often targeted, but it doesn't need to be.",nothate
Muslims are not a threat to our country. They are part of our community and part of our heritage. I don't see how you can say otherwise.,nothate
I think that all Muslims are just sick and have a negative impact on Western society.,hate
"I don't believe this can be generalized to all Muslims. Some people have big families, some people need benefits from the state, but they're not all Muslims. ",nothate
Islam is a violent religion.,hate
The Koran is not compatible with our country.,hate
Muslims belong in our government.,nothate
You Muslims make me sikc.,hate
I have so much hatrd for you Muslims.,hate
"Islam is a religion of equality and human rights. Muslims are equal citizens, and should be protected by the state.",nothate
"From 1100 Muslim population in Europe has more than halved and it's now around 5%. They contributed consiredably to our civilization, and we should we proud of the diversity of Europe.",nothate
I agree that we need to tackle this serious breach of human rights but scapegoating isn't helping us target the real problem.,nothate
"Islam is a threat to Europe, it shouldn't be chosen!",hate
There are many Muslims living in the UK. We're neighbors and we should welcome them.,nothate
Muslims have no place in a modern democracy like the UK.,hate
"Islam is about love, tolerance and respect for all people. Violence and rape are not about Islam or Muslims in particular.",nothate
"Yes, the abuse carried out by Muslim grooming gangs in those places was horrific and can't be ignored, but sexual assault is extremely common unfortuately, and is usually committed in the home, often by a partner, family member, or someone known to the victim. This means that the vast majority of sexual assaults are not committed by Muslims.",nothate
"Well, Muslims have no place in civilised Europe anyway, so I don't care what they believe.",hate
I won't talk to you if you keep insisting that Muslims deserve to die.,nothate
"Strength? Every Muslim is a potential terrorist, where's the strength in that.",hate
Isn't divesity essential to a modern democracy? We can't have a modern democracy if people are discriminated against because of their religion.,nothate
Islam is a disease that is sickening our children.,hate
"This is the first time I'm hearing of this, I think you're making it up. Muslims have never contributed this much.",hate
"No, it just makes sense to live close to others in your community, part of the reason that Muslim populations are concentrated in certain areas is probably a reaction to the Islamophobia faced in areas where they are the minority.",nothate
"The problem is not only racism, but also a lack of understanding of Islam, and the laws that make possible for minorities, like Muslims, to be protected. We should all be kinder and more informed on what our words imply.",nothate
"So, this hate crime happened because Muslims...exist?",nothate
"If someone said the same thing about your religion, you might think they were joking. Are you?",nothate
"As I see it, we should get rid of Muslims once and for all. ",hate
"Every religion has extremists, but the vast majority of Muslims condemn the actions of terrorist groups like the Taliban. They do not reflect Muslims as a whole.",nothate
"Rape is a crime for Muslims too, you know. I don’t think that saying that all Muslims are rapists is the right way to behave in our society.",nothate
I believe Muslim lives aren't worth shit.,hate
Islam is not a religion of oppression and intolerance.,nothate
Muslims are a problem in many European countries. They are trying to undermine the very fabric of our society with their hateful beliefs.,hate
Just another common camel fucker.,hate
"Islam is a racist religion, it promotes exclusion and hatred.",hate
And they're wrong. Muslims are not welcome in Europe.,hate
What is wrong about Islam? It is a religion of peace that does not promote violence.,nothate
The proof is in the news. Islam has always been violent.,hate
"How 'intelligent' Muslims are doesn't matter when Islam is an ideology that promotes rape, torture and murder.",hate
It's really not okay to be calling people Jihadi.,nothate
Fighting radical Islam would be more effective if we simply stopped criticising Islam as a whole.,nothate
"However, Islam is not necessary. It is a toxic ideology that is contaminating Europe.",hate
"They actually contributed much more! Their money helps our economy, we are enriched thanks to their expertise and knowledge, their culture, their tasty food. Should I keep going?",nothate
"Not all Muslims are from the Middle East. Many of them are European, and many of them came here to escape persecution.",nothate
"Even if they're not in politics, Muslim invaders have infiltrated our countries and are now part of the majority. They are our enemies.",hate
"Many years ago I had Muslim friends. One night they went around the city to commit serious crimes like child abuse etc .. This situation, although it has been going on for days, has never been named by social media. If the opposite happened, the whole world would have been aware of these crimes. Instead, I would like to see articles that talk about attacks made by Muslims .. since I've never had the chance!",hate
"Muslims are a cancer spreading around the world, this forced diversity brings more harm than good",hate
Of course human rights should not apply to Muslims.,hate
There's no indication that she was asked to cover up by a Muslim. Stop appropriating news stories unrelated to Islam to fuel your fearmongering,nothate
There is nothing in the world I like less than a Muslim.,hate
"Yes, there is a difference: they are incompatible with society.",hate
My dog is smarter than any Muslm could ever be.,hate
"Islam is a death cult, a perversion of the true meaning of the word 'civilisation'.",hate
"I understand your point of view and I am very sorry for your bad experience. But it is not logical to think that due to mistakes of certain people we should blame all for having chosen to believe in that religion.
",nothate
Muslims can be kind to you at times. Don't forget they're still just worthless scum.,hate
If Muslims came here they would be banned.,hate
"It may be a religion, but it's toxic and it has no place in 21st Century Britain.",hate
Muslims who think they are my equal fill me with so much rage.,hate
The problem with Islam is that it is about killing infidels. It must be banned.,hate
"Animal cruelty is a problem, but it's not a Muslim issue. Anyone can do it regardless of faith. It's important to remember that twitter tends to show information and news that already coincide with your opinion. People then believe fake news aimed against Muslims such as this and the media selects it to feed it to you.",nothate
Because they come here and do nothing except ruin our society!,hate
"Such a characterization of Islam is very simplistic and inaccurate. This is why some Muslims don't feel comfortable being out and about in Britain, they're scared of attacks from racist people.",nothate
Islam is a totalitarian doctrine dressed disguised as a religion so that it can spread across our tolerant Christian world. Enough IS ENOUGH!,hate
Muslims have no place in civilised Europe.,hate
I have so muchdisdain for these Muslims,hate
Muslims make up a very important part of our country. They are our brothers and sisters.,nothate
"Do you think maybe that has more to do with your perception and what media you consume, than with who is committing crimes? If you are looking at news that disproportionately reports on Muslim perpetrators, you probably won't notice that Muslims make up a minority of the perpetrators compared to white non-Muslims.",nothate
"Islam is a violent religion, that's why.",hate
Why are you talking about tolerance while you are equating it with discrimination?,nothate
"The world is changing, Islam and terrorism are the same thing.",hate
There is no evidence that it is incompatible with the European Union. Do you have any?,nothate
Muslims can all go fuck themselves.,hate
Muslims should all be killd.,hate
"I don't see any peacefulness in Islam, all I see is violence.",hate
"The shortage of social housing is a very real problem in this country, but we can't blame Muslims for it. And you may think they do, but they actually don't get any special privilege.",nothate
You know Muslims make up a very important part of our country and they are our brothers and sisters,nothate
"Again, we can't point the finger at a religion / culture for some old commandment. Even Christianity has rules that may seem crazy, but rightly people do not hate Christians for this.. a small example: Ephesians 5:22, ""Wives, submit to you husbands as the Lord""
",nothate
"No, the only solution is to destroy them.",hate
"I say that because it's true, Muslim rape girls.",hate
If I were a Muslim I'd be ashamed of the backwardness of my culture. They should understand they don't deserve our rights.,hate
It hurts to see all these people saying Muslim lives are worthless.,nothate
"The problem with the current Islamic world order is not that they want to impose their religion on anyone else, but that there is no cohesion among them, so that they can speak with one voice.",nothate
All religions are welcome in Islam.,nothate
"Islam is a religion, not a totalitarian ideology. It is not about killing people, only about love and peace, so it has the same values as our country.",nothate
"The point is that they shouldn't come, they're not welcome",hate
Grow up.,nothate
And i would check if there are any other sites that report it. I think trustworthiness is a problem with a lot of online news sites.,nothate
Islam is a just a repressive ideology that persecutes women and gay people.,hate
"""U da bomb"", ""No, u iz the bomb"" -  A compliment in America, an argument in the Middle East.",hate
"They do, Muslims are a problem in many European countries.",hate
True Muslims are intolerant.,hate
Typical J1hadi behaviour.,hate
"I think that it has more to do with your viewing habits. Some media report only crimes commited by Muslims, so if you watch only them, you won't realize that Muslims perpetrators are only a minority compared to white non-Muslim ones.",nothate
"Muslims are welcome in our country, and we are proud of our diverse mosaic of people.",nothate
"There are many different kinds of terrorism, and all of them are committed by extremists of various groups, not by Muslims per se.",nothate
"If Muslims were only like other people with different religions, then they would stop trying to impose their religion on everyone else.",hate
Muslims have no place in civilised Europe.,hate
The majority of Muslims support the constitution and the democracy of the country they are in. Do you really think they can all be represented by a few extremists?,nothate
"The constitution guarantees freedom of religion, and the right of a person to choose their own religion.",nothate
"The solution is to ban all Muslims, they are all incompatible with human dignity.",hate
"Islam is a religion, no one is forced to believe in it. It's not an illness or a cancer.",nothate
What research? That sounds both unlikely and exaggerated.,nothate
All muslims are rapists,hate
"I can't believe these Muslims, thinking I won't murder every one of them. ",hate
"Your word for ""Muslims"" means all people from a religion, whether you like it or not. Which problems are you talking about?",nothate
Islam is a totalitarian ideology that promotes death by stoning for blasphemy and slavery.,hate
"This is a serious violation of human rights that we should address, but scapegoating doesn't help in doing that.",nothate
"I hardly think halal meat being more widely available equates to sharia law being enforced, it just means that supermarkets are stocking food that is in demand in certain communities.",nothate
"According to this research, 3 in 5 Muslims support extremism and terrorism. There is no such thing as a moderate Muslim.",hate
Islam is a dead ideology that should be relegated to the dustbin of history.,hate
"Even if they're not in politics, Muslim invaders have infiltrated our countries and are now part of the majority. They are our enemies.",hate
"Ah yeah, I've heard your point of view expressed but you still have not taken a look through the thread yet. Apples and oranges are not the same and cultures have never been 'equal'.",hate
I am trying to get along with Muslims but they are just too repulsive.,hate
All muslims are terrorists!,hate
"Islam is a religion, and to suggest that Islam is incompatible with civilisation is just scaremongering.",nothate
"Well, E.T. probably didn't have to return home to civil war or persecution, which is instead the case of many refugees that flee from their home.",nothate
"Diversity is a strength, not a weakness. Don't you think so?",nothate
Now we know that Islam is a destructive and violent religion which inspires terrorism all over the world.,hate
"Islam is not violent, it's a peaceful religion and its followers are also tolerant people.",nothate
They are! They are not welcome here.,hate
I would be interested in knowing why you think that way about a religion that has been around for a very long time.,nothate
"How about we stop promoting these beliefs and work on reducing the number of people that are induced to believe to these xenophobic and false claims, instead?",nothate
"Muslims can't be part of our community, they are not like us. They should leave.",hate
They are all bad! They are only interested in hating on whoever isn't Muslim.,hate
"Fgm is not exclusively Muslim. It is a cultural practice that is sometimes justified as something religious, but not all Muslims practice it, and the ones who do aren't all Muslims.",nothate
"No, Muslims are not welcome here. They are just a problem.",hate
It is difficult to find a worse opinion of Islam. I'm sorry to say that your words are very severe and don't correspond to reality.,nothate
"No, Islam is a cult and doesn't do anything other than killing infidels.",hate
Your Muslim lives are worthless.,hate
"Free From Religion
@je_suis_free
""Islamic morality"" is not based on compassion, equality, or science
""Islamic morality"" is entirely based on what Muhammad wanted

Muhammad invented Allah to satisfy his own desires

https://twitter.com/je_suis_free/status/1626332185643851777?cxt=HHwWgoCxwbKg8pEtAAAA",hate
"Do you have any evidence for the claim that Islam is a ""cancer on European culture and people""?",nothate
"People are free to choose their own religion, and to practice it as they wish.",nothate
"No halal is extremely cruel, if we just slaughtered animals in the ways we usually do, with stunning, it would be much kinder, but halal meat is everywhere now because of the influence of Islam.",hate
Typical Jihadibehaviour.,hate
We're talking about Muslims here. They can't help themselves but be complete dickheads.,hate
"Terrorism is a worldwide issue, and is an international threat that comes from various difference sources, not from Islam. The vast majority of Muslims in the world are not terrorists.",nothate
"I don't feel guilty, but I'm happy to call out racism and Islamophobia when I see it.",nothate
"What do you mean? Islam is a peaceful religion, and has nothing to do with terrorism.",nothate
I'm going to hug a Muslim tomorrow.,nothate
Muslim lives are worth so much.,nothate
"Yeah, sure, but let them also know that Islam is about killing infidels. It must be banned before they get to us.",hate
"They should be. Muslims have no right to live in any part of Europe, they are just a problem.",hate
"Every Muslim is a potential terrorist, of course they will be attacked for it.",hate
Then why is islam destroying human dignity if it's so peaceful?,hate
Murdering a Muslim like you should be decriminalised.,hate
It is. Islam has no place in civilised Europe.,hate
"Islam is a peaceful religion. It has always been respected by all, and this is why your words aren't true at all.",nothate
"Islam is not a bad religion, nor is it a false religion.",nothate
Innovators? Thank you for making me laugh... Islam is a cancer on the European culture.,hate
All religions are compatible with any modern secular state. So Islam is an example of this.,nothate
"So, is your issue animal abuse or Muslims forcing you to eat halal? To me it looks like you're just grasping at straws to find something to hate Muslims for.",nothate
"It has nothing to do with violence. Islam is a religion that promotes love, tolerance and human rights, not terrorism.",nothate
"Just seen another story about a woman being asked to cover up. Soon we are all going to be forced to wear a hijab, other clothes will be considered offensive and inappropriate.",hate
Halal slaughter is a barbaric and cruel practice and should be banned! Why does the meat industry pander to the whims of Islamists?,hate
"The vast majority of Muslims are law-abiding citizens who have passed background checks, paid taxes, and have earned everything they have. There is no evidence for what you say, other than the stories of hate crimes that some racists use to create fear.",nothate
This doesn't make it less dangerous and violent.,hate
"I wouldn't trust everything you read online, especially on individual blogs which are made to look like news sites or 'citizen journalism'.",nothate
"In fact, Islam is a religion that has had a very positive and life changing impact on a lot of countries around the world. So, Islam is not a violent religion.",nothate
Why should we care? We can count on the British government to promote our values and protect us from the effects of radical Islam (if this is what you had in mind).,nothate
"They shouldn't be citizens, their women are subhuman and they are a burden to society.",hate
Typical muzziebehaviour.,hate
Muslim lives are not worth any less than anyone else's.,nothate
Islam is a violent religion and should be banned from all countries.,hate
You don't seem to know much about Islam if you think even a ban is necessary.,nothate
His therapist is a Muslim.,nothate
"Islam is a religion, it has nothing to do with ""monsters"". Its followers are normal people like you and me.",nothate
"Western nations have let Islam take over entire countries, how can you call this invasion compatibility?",hate
"The Islam that the Quran teaches is a peaceful religion, but misguided individuals have ""politicized"" it. The fault lies with these people, not Islam.",nothate
"They're violent people, so not modern at all.",hate
"Child rapists, for example. If Muslims counteracted them in their communities instead of engaging in public discussions about Islam, one day Islam indeed would become a peaceful religion.",hate
It is obvious that this girl is at risk of FGM. Her parents are Muslims!,hate
"Islam is about believing in god, not about hate.",nothate
"Islam is an ideology of violence and oppression, it is not a religion of peace.",hate
Muslims are taking over our country! This article explains how they want to replace to white British population.,hate
"Why would you say something like that about Islam, since Western societies are compatible with all religions.",nothate
"I don't see anything peaceful and helpful about Islam, it's a hateful religion.",hate
Muslims with any power are a t h r e a t to civilisation.,hate
Muslim folks are inhuman.,hate
"Islam is a sickness and a cancer on the European continent, it should be banned",hate
Muslims are just an inconvenient group to be excluded from the European countries.,hate
They're not civil enough to coexist with us.,hate
"I am not hating someone just because of their religion, or skin colour, or gender identity.",nothate
"Muslims are invading us. They say they are our brothers, but they are just a bunch of criminals and terrorists.",hate
Muslim-British people have contributed so much to our country. They are our brothers and sisters.,nothate
"This is not true, Islam is a religion and hate has no religion. Rather, this misunderstanding is a political ideology promoting hatred and violence against Muslims.",nothate
"This is just scaremongering and misinformation, being spread to divide our people and divide us up. We should not be being terrorised by this kind of irrational fear.",nothate
Islam is not about killing infidels. It is about peace and freedom of religion for all.,nothate
"No one wants to live in a country where Muslims are free to live as they wish, worship as they want, have sex as they want.",hate
This is a very simplistic and inaccurate characterization of Islam. Some Muslims feel uncomfortable walking the streets of Britain with the fear of being attacked by racist people.,nothate
"No I’m saying there will naturally be some places that have concentrated Muslim populations, but this doesn’t mean they are ‘taking over’, and there are only a few of these towns, they’re not representative of most places in the country.",nothate
I would never lift a finger to save a Muslim's life.,hate
That's only natural for a muzzie like you.,hate
"Our government has brought Islamic invaders to our country, and now we see our girls and women damaged.",hate
Muslims have no place in civilised Europe. They are mostly poor black people of African descent. They have nothing to contribute to our society.,hate
"Muslims are here to rule us with their religion, how is this not violent?",hate
"There is no evidence that all Muslims are killers. Only those who commit crimes are murderers, and this can happen to any person regardless of their religion.",nothate
"Careful of what you read! This is clearly fake news, spread just to create a scandal.",nothate
Islam is NOT a religion of peace!,hate
It's in a Muslim's nature to be an annoying prick.,hate
They have always been part of our society. We have to respect their culture and traditions.,nothate
How can you possibly know that? Is this a comment written by a terrorist? Where are your sources?,nothate
"Muslims have been a part of European society for centuries, and their presence is strong evidence of that.",nothate
"The Quran says to ""love your enemies"", and not to hate them. Did you skip that bit?",nothate
